Product Name,Gross Profit,Cumulative,Cumulative %,Item Rank %
Wonka Bar -Scrumdiddlyumptious,19357.5,19357.5,20.72,6.67
Wonka Bar - Triple Dazzle Caramel,18610.2,37967.7,40.63,13.33
Wonka Bar - Milk Chocolate,17443.37,55411.06999999999,59.3,20.0
Wonka Bar - Nutty Crunch Surprise,16819.95,72231.01999999999,77.3,26.67
Wonka Bar - Fudge Mallows,16593.6,88824.62,95.06,33.33
Lickable Wallpaper,3930.0,92754.62,99.26,40.0
Wonka Gum,310.7,93065.31999999999,99.6,46.67
Everlasting Gobstopper,104.0,93169.31999999999,99.71,53.33
Kazookles,92.75,93262.06999999999,99.81,60.0
Hair Toffee,59.5,93321.56999999999,99.87,66.67
Fizzy Lifting Drinks,47.25,93368.81999999999,99.92,73.33
Laffy Taffy,33.480000000000004,93402.29999999999,99.96,80.0
Sweetarts,28.7,93430.99999999999,99.99,86.67
Nerds,7.0,93437.99999999999,99.99,93.33
Fun Dip,4.8,93442.79999999999,100.0,100.0
