Division,Product Name,Total_Sales,Total_Cost,Total_Profit,Total_Units,Orders,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %,Classification
Chocolate,Wonka Bar -Scrumdiddlyumptious,27874.8,8517.3,19357.5,7743,1704,69.44,2.5,19.66,20.72,High-Profit / High-Margin
Chocolate,Wonka Bar - Triple Dazzle Caramel,28485.0,9874.8,18610.2,7596,1677,65.33,2.45,20.09,19.92,High-Profit / High-Margin
Chocolate,Wonka Bar - Milk Chocolate,26867.75,9424.38,17443.37,8267,1768,64.92,2.11,18.95,18.67,High-Profit / High-Margin
Chocolate,Wonka Bar - Nutty Crunch Surprise,23574.95,6755.0,16819.95,6755,1529,71.35,2.49,16.63,18.0,High-Profit / High-Margin
Chocolate,Wonka Bar - Fudge Mallows,24890.4,8296.8,16593.6,6914,1527,66.67,2.4,17.56,17.76,High-Profit / High-Margin
Other,Lickable Wallpaper,7860.0,3930.0,3930.0,393,92,50.0,10.0,5.54,4.21,High-Sales / Low-Margin
Other,Wonka Gum,597.5,286.8,310.7,478,118,52.0,0.65,0.42,0.33,High-Sales / Low-Margin
Sugar,Everlasting Gobstopper,130.0,26.0,104.0,13,3,80.0,8.0,0.09,0.11,Niche High-Margin
Other,Kazookles,1205.75,1113.0,92.75,371,94,7.69,0.25,0.85,0.1,High-Sales / Low-Margin
Sugar,Hair Toffee,76.5,17.0,59.5,17,4,77.78,3.5,0.05,0.06,Niche High-Margin
Sugar,Fizzy Lifting Drinks,78.75,31.5,47.25,21,6,60.0,2.25,0.06,0.05,Low-Sales / Low-Profit
Sugar,Laffy Taffy,53.73,20.25,33.480000000000004,27,10,62.31,1.24,0.04,0.04,Niche High-Margin
Sugar,Sweetarts,61.5,32.8,28.7,41,10,46.67,0.7,0.04,0.03,Low-Sales / Low-Profit
Sugar,Nerds,15.0,8.0,7.0,10,4,46.67,0.7,0.01,0.01,Low-Sales / Low-Profit
Sugar,Fun Dip,12.0,7.2,4.8,8,3,40.0,0.6,0.01,0.01,Low-Sales / Low-Profit
